"title","price","discount","developer","publisher","release_date","valoration","reviews","stock","descarga","f2p","initial_price","DLC","genre1","genre2","multiplayer","indie","year","month","day"
"Assetto Corsa Competizione - 2023 GT World Challenge Pack",9.99,23,"Kunos Simulazioni","505 Games","2023-04-19",10,1,1,"Descarga digital",0,12.974025974026,TRUE,"Carreras","Simulación",FALSE,TRUE,2023,4,19
"Ravenswatch",13.89,31,"Passtech Games","Nacon","2023-04-06",9,0,1,"Descarga digital",0,20.1304347826087,FALSE,"Acción","Aventura",FALSE,FALSE,2023,4,6
"Dredge",19.09,24,"Black Salt Games","Team17","2023-03-30",10,16,1,"Descarga digital",0,25.1184210526316,FALSE,"Aventura","RPG",FALSE,FALSE,2023,3,30
"Europa Universalis IV: Domination - Europe",14.49,28,"Paradox Tinto","Paradox Interactive","2023-04-18",10,0,1,"Descarga digital",0,20.125,TRUE,"Simulación","Estrategia",FALSE,FALSE,2023,4,18
"The Last of Us Part I",36.87,39,"Naughty Dog LLC","PlayStation PC LLC","2023-03-28",6,211,1,"Descarga digital",0,60.4426229508197,FALSE,"Acción","Aventura",FALSE,FALSE,2023,3,28
"Total War: Warhammer III - Forge of the Chaos Dwarfs - Europe",18.99,24,"Feral Interactive","SEGA","2023-04-13",10,2,1,"Descarga digital",0,24.9868421052632,TRUE,"Acción","Estrategia",FALSE,FALSE,2023,4,13
"Hogwarts Legacy Deluxe Edition - Europe",48.49,31,"Avalanche Software","Warner Bros. Games","2023-02-10",10,517,1,"Descarga digital",0,70.2753623188406,FALSE,"Acción","Aventura",FALSE,FALSE,2023,2,10
"Smalland: Survive the Wilds",19.16,23,"Merge Games","Merge Games","2023-03-29",10,3,1,"Descarga digital",0,24.8831168831169,FALSE,"Acción","Aventura",FALSE,TRUE,2023,3,29
"Hogwarts Legacy - Europe",41.29,31,"Avalanche Software","Warner Bros. Games","2023-02-10",10,517,1,"Descarga digital",0,59.8405797101449,FALSE,"Acción","Aventura",FALSE,FALSE,2023,2,10
"Football Manager 2023 - Europe",33.94,43,"Sports Interactive","SEGA","2022-11-08",7,8,1,"Descarga digital",0,59.5438596491228,FALSE,"Simulación","Deporte",FALSE,FALSE,2022,11,8
"Marvel’s Spider-Man: Miles Morales",21.39,57,"Nixxes Software","PlayStation PC LLC","2022-11-18",10,59,1,"Descarga digital",0,49.7441860465116,FALSE,"Acción","Aventura",FALSE,FALSE,2022,11,18
"House Flipper - Farm DLC",10.49,29,"Frozen Way","Frozen Way","2023-04-13",9,0,1,"Descarga digital",0,14.7746478873239,TRUE,"Simulación","Simulación",FALSE,TRUE,2023,4,13
"Planet Zoo: Tropical Pack",6.09,39,"Frontier Developments","Frontier Developments","2023-04-04",10,1,1,"Descarga digital",0,9.98360655737705,TRUE,"Simulación","Estrategia",FALSE,FALSE,2023,4,4
"Resident Evil 4 - Europe",42.19,30,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2023-03-24",10,150,1,"Descarga digital",0,60.2714285714286,FALSE,"Acción","Aventura",FALSE,FALSE,2023,3,24
"Resident Evil 4 Deluxe Edition - Europe",47.89,32,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2023-03-24",10,150,1,"Descarga digital",0,70.4264705882353,FALSE,"Acción","Aventura",FALSE,FALSE,2023,3,24
"Deceive Inc. - Europe",13.05,35,"Sweet Bandits Studios","Tripwire Presents","2023-03-21",10,3,1,"Descarga digital",0,20.0769230769231,FALSE,"Acción","Estrategia",TRUE,TRUE,2023,3,21
"Mount & Blade II: Bannerlord",29.48,41,"TaleWorlds Entertainment","TaleWorlds Entertainment","2022-10-25",9,103,1,"Descarga digital",0,49.9661016949153,FALSE,"Acción","RPG",FALSE,TRUE,2022,10,25
"WRC Generations Fully Loaded Edition",12.25,75,"KT Racing","Nacon","2022-11-03",8,28,1,"Descarga digital",0,49,FALSE,"Carreras","Simulación",FALSE,FALSE,2022,11,3
"Destiny 2: Eclipse + Pase anual",52.65,47,"Bungie","Bungie","2023-02-28",8,31,1,"Descarga digital",0,99.3396226415094,TRUE,"Acción","Aventura",FALSE,FALSE,2023,2,28
"Destiny 2 Legacy Collection (2023) - Europe",23.18,61,"Bungie","Bungie","2023-02-28",9,5,1,"Descarga digital",0,59.4358974358974,TRUE,"Acción","Aventura",FALSE,FALSE,2023,2,28
"Planet Zoo: Grasslands Animal Pack",4.19,58,"Frontier Developments","Frontier Developments","2022-12-13",10,6,1,"Descarga digital",0,9.97619047619048,TRUE,"Simulación","Estrategia",FALSE,FALSE,2022,12,13
"Dredge Digital Deluxe Edition",26.49,24,"Black Salt Games","Team17","2023-03-30",10,16,1,"Descarga digital",0,34.8552631578947,FALSE,"Aventura","RPG",FALSE,FALSE,2023,3,30
"Starsand",1,94,"Tunnel Vision Studio","Toplitz Productions","2022-11-17",7,5,1,"Descarga digital",0,16.6666666666667,FALSE,"Acción","Aventura",FALSE,FALSE,2022,11,17
"Sifu",23.99,40,"Sloclap","Kepler Interactive","2023-03-28",10,27,1,"Descarga digital",0,39.9833333333333,FALSE,"Acción","Acción",FALSE,TRUE,2023,3,28
"Deceive Inc. Black Tie Edition - Europe",18.67,38,"Sweet Bandits Studios","Tripwire Presents","2023-03-21",10,3,1,"Descarga digital",0,30.1129032258065,FALSE,"Acción","Estrategia",TRUE,TRUE,2023,3,21
"Total War: Warhammer III - Forge of the Chaos Dwarfs",18.99,24,"Feral Interactive","SEGA","2023-04-13",10,2,1,"Descarga digital",0,24.9868421052632,TRUE,"Acción","Estrategia",FALSE,FALSE,2023,4,13
"Undisputed",22.51,25,"Steel City Interactive","Steel City Interactive","2023-01-31",9,16,1,"Descarga digital",0,30.0133333333333,FALSE,"Acción","Simulación",FALSE,TRUE,2023,1,31
"Frozen Flame",10.84,64,"Dreamside Interactive","Ravenage Games","2022-11-17",9,8,1,"Descarga digital",0,30.1111111111111,FALSE,"Acción","Aventura",FALSE,FALSE,2022,11,17
"The Last of Us Part I Digital Deluxe Edition",44.05,37,"Naughty Dog LLC","PlayStation PC LLC","2023-03-28",6,211,1,"Descarga digital",0,69.9206349206349,FALSE,"Acción","Aventura",FALSE,FALSE,2023,3,28
"Stellaris: First Contact Story Pack",9.89,34,"Paradox Arctic","Paradox Interactive","2023-03-14",10,1,1,"Descarga digital",0,14.9848484848485,TRUE,"Simulación","Estrategia",FALSE,FALSE,2023,3,14
"Potion Craft: Alchemist Simulator",4.83,61,"niceplay games","tinyBuild","2022-12-13",10,36,1,"Descarga digital",0,12.3846153846154,FALSE,"Simulación","Simulación",FALSE,TRUE,2022,12,13
"WWE 2K23 - Europe",42.82,29,"Visual Concepts","2K","2023-03-16",7,6,1,"Descarga digital",0,60.3098591549296,FALSE,"Simulación","Deporte",FALSE,FALSE,2023,3,16
"Resident Evil Village Gold Edition",23.32,53,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","2022-10-28",9,194,1,"Descarga digital",0,49.6170212765957,FALSE,"Acción","Acción",FALSE,FALSE,2022,10,28
"Have a Nice Death",19.55,22,"Magic Design Studios","Gearbox Publishing","2023-03-22",10,2,1,"Descarga digital",0,25.0641025641026,FALSE,"Acción","Acción",FALSE,TRUE,2023,3,22
"Company of Heroes 3 - Europe",31.2,48,"Relic Entertainment","SEGA","2023-02-23",7,29,1,"Descarga digital",0,60,FALSE,"Acción","Estrategia",FALSE,FALSE,2023,2,23
"Destiny 2: Eclipse",34.96,30,"Bungie","Bungie","2023-02-28",8,31,1,"Descarga digital",0,49.9428571428571,TRUE,"Acción","Aventura",FALSE,FALSE,2023,2,28
"Atomic Heart",40.6,32,"Mundfish","4Divinity","2023-02-20",9,42,1,"Descarga digital",0,59.7058823529412,FALSE,"Acción","Aventura",FALSE,FALSE,2023,2,20
