title;price;discount;developer;publisher;tags;release_date;valoration;reviews;stock;descarga;f2p
Assetto Corsa Competizione - 2023 GT World Challenge Pack;9.99€;-23%;Kunos Simulazioni;505 Games;['Un solo jugador', 'Indies', 'Carreras', 'Simulación', 'Deporte', '\nDLC\n'];19 abril 2023;10;1;En stock;Descarga digital;False
Ravenswatch;13.89€;-31%;Passtech Games;Nacon;['Un solo jugador', 'Acción', 'Aventura', 'Early Access'];6 abril 2023;;0;En stock;Descarga digital;False
Dredge;19.09€;-24%;Black Salt Games;Team17;['Un solo jugador', 'Aventura', 'RPG'];30 marzo 2023;10;16;En stock;Descarga digital;False
Europa Universalis IV: Domination - Europe;14.49€;-28%;Paradox Tinto;Paradox Interactive;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];18 abril 2023;;0;En stock;Descarga digital;False
The Last of Us Part I;36.87€;-39%;Naughty Dog LLC;PlayStation PC LLC;['Un solo jugador', 'Acción', 'Aventura'];28 marzo 2023;6;211;En stock;Descarga digital;False
Total War: Warhammer III - Forge of the Chaos Dwarfs - Europe;18.99€;-24%;Feral Interactive;SEGA;['Un solo jugador', 'Acción', 'Estrategia', '\nDLC\n'];13 abril 2023;10;2;En stock;Descarga digital;False
Hogwarts Legacy Deluxe Edition - Europe;48.49€;-31%;Avalanche Software;Warner Bros. Games;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];10 febrero 2023;10;517;En stock;Descarga digital;False
Smalland: Survive the Wilds;19.16€;-23%;Merge Games;Merge Games;['Un solo jugador', 'Acción', 'Aventura', 'Indies', 'RPG', 'Early Access'];29 marzo 2023;10;3;En stock;Descarga digital;False
Hogwarts Legacy - Europe;41.29€;-31%;Avalanche Software;Warner Bros. Games;['Un solo jugador', 'Acción', 'Aventura', 'RPG'];10 febrero 2023;10;517;En stock;Descarga digital;False
Football Manager 2023 - Europe;33.94€;-43%;Sports Interactive;SEGA;['Un solo jugador', 'Simulación', 'Deporte'];8 noviembre 2022;7;8;En stock;Descarga digital;False
Marvel’s Spider-Man: Miles Morales;21.39€;-57%;Nixxes Software;PlayStation PC LLC;['Un solo jugador', 'Acción', 'Aventura'];18 noviembre 2022;10;59;En stock;Descarga digital;False
House Flipper - Farm DLC;10.49€;-29%;Frozen Way;Frozen Way;['Un solo jugador', 'Indies', 'Simulación', '\nDLC\n'];13 abril 2023;;0;En stock;Descarga digital;False
Planet Zoo: Tropical Pack;6.09€;-39%;Frontier Developments;Frontier Developments;['Un solo jugador', 'Simulación', 'Estrategia', '\nDLC\n'];4 abril 2023;10;1;En stock;Descarga digital;False
Resident Evil 4 - Europe;42.19€;-30%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción', 'Aventura'];24 marzo 2023;10;150;En stock;Descarga digital;False
Resident Evil 4 Deluxe Edition - Europe;47.89€;-32%;CAPCOM Co., Ltd.;CAPCOM Co., Ltd.;['Un solo jugador', 'Acción', 'Aventura'];24 marzo 2023;10;150;En stock;Descarga digital;False
Deceive Inc. - Europe;13.05€;-35%;Sweet Bandits Studios;Tripwire Presents;['PvP online', 'Acción', 'Indies', 'Estrategia'];21 marzo 2023;10;3;En stock;Descarga digital;False
Mount & Blade II: Bannerlord;29.48€;-41%;TaleWorlds Entertainment;TaleWorlds Entertainment;['Un solo jugador', 'Acción', 'Indies', 'RPG', 'Simulación', 'Estrategia', '\nGeForce Now\n'];25 octubre 2022;9;103;En stock;Descarga digital;False
